aded,trump,johnson,clinton,stein,total,winner
29008,54,1,290,5,421,clinton
29009,91,0,592,4,729,clinton
29010,110,4,610,0,757,clinton
29011,58,1,270,3,345,clinton
29012,26,1,685,9,780,clinton
29013,55,1,497,3,593,clinton
29014,19,2,522,7,590,clinton
29015,50,2,484,6,584,clinton
29016,68,3,432,6,548,clinton
29017,51,0,545,5,659,clinton
29018,17,3,525,9,605,clinton
29019,24,3,511,2,585,clinton
29020,11,2,637,7,707,clinton
29021,16,4,712,7,782,clinton
29022,12,3,644,8,719,clinton
29023,23,3,590,3,678,clinton
29024,16,2,623,14,725,clinton
29025,14,4,634,13,732,clinton
29026,30,8,691,11,865,clinton
29027,14,2,702,6,779,clinton
29028,18,3,755,5,860,clinton
29029,21,3,739,9,829,clinton
29030,13,2,582,6,644,clinton
29031,20,4,720,8,792,clinton
29032,8,1,739,8,814,clinton
29033,14,4,731,6,827,clinton
29034,15,1,700,7,768,clinton
29035,14,1,510,5,564,clinton
29036,69,4,579,3,696,clinton
29037,68,1,595,10,699,clinton
29038,52,7,687,7,802,clinton
29039,60,3,507,7,632,clinton
29040,7,1,367,4,410,clinton
29041,10,3,534,4,581,clinton
29042,26,6,691,4,779,clinton
29043,38,0,633,9,720,clinton
29044,19,5,580,6,642,clinton
29045,40,4,681,7,775,clinton
29046,39,2,680,3,765,clinton
29047,35,1,673,3,748,clinton
29048,25,2,462,8,524,clinton
29049,30,4,549,6,624,clinton
29050,26,0,701,9,772,clinton
29051,16,2,768,8,840,clinton
29052,10,2,680,7,755,clinton
29053,9,5,491,6,539,clinton
29054,15,3,708,11,782,clinton
29055,17,1,738,3,848,clinton
29056,17,2,634,5,715,clinton
29057,18,1,595,10,677,clinton
29058,11,2,607,2,677,clinton
29059,15,2,704,7,770,clinton
29060,23,3,748,10,834,clinton
29061,13,4,718,5,782,clinton
29062,36,3,743,8,828,clinton
29063,7,1,617,7,667,clinton
29064,17,6,557,10,615,clinton
29065,18,4,488,3,555,clinton
29066,22,3,567,5,633,clinton
29067,27,5,631,6,708,clinton
29068,45,2,679,6,774,clinton
29069,10,0,261,2,291,clinton
29070,16,1,578,8,657,clinton
29071,29,5,572,2,642,clinton
29072,57,0,460,5,569,clinton
30001,60,3,117,3,193,clinton
30002,149,5,392,9,659,clinton
30003,5,0,15,0,23,clinton
30004,304,16,411,8,779,clinton
30005,393,19,242,7,703,trump
30006,378,8,281,8,725,trump
30007,352,14,292,10,723,trump
30008,409,11,313,11,796,trump
30009,427,16,286,4,780,trump
30010,328,12,377,12,785,clinton
30011,438,11,337,13,842,trump
30012,466,11,249,6,779,trump
30013,303,12,351,8,724,clinton
30014,421,9,310,8,797,trump
30015,258,7,149,5,449,trump
30016,293,16,317,11,664,clinton
30017,337,9,404,8,798,clinton
30018,258,10,359,13,670,clinton
30019,7,0,10,0,17,clinton
30020,153,4,175,5,365,clinton
30021,319,12,378,13,761,clinton
30022,293,15,426,12,810,clinton
30023,337,11,364,14,789,clinton
30024,145,2,192,9,371,clinton
30025,227,8,388,10,665,clinton
30026,235,12,370,7,657,clinton
30027,276,8,440,14,783,clinton
30028,1,0,3,0,4,clinton
30029,14,0,38,0,57,clinton
30030,174,8,320,10,547,clinton
30031,76,6,249,2,349,clinton
30032,17,2,113,2,142,clinton
30033,59,3,119,1,193,clinton
30034,0,0,0,0,0,null
30035,0,0,0,0,0,null
30036,170,8,498,9,736,clinton
30037,177,12,383,6,603,clinton
30038,47,6,313,15,402,clinton
30039,292,17,549,15,921,clinton
30040,196,8,558,12,824,clinton
30041,47,1,182,6,255,clinton
30042,94,10,450,9,586,clinton
30043,145,7,602,12,849,clinton
30044,145,12,585,17,819,clinton
30045,130,4,546,18,746,clinton
30046,112,10,671,11,851,clinton
30047,119,7,627,9,813,clinton
30048,239,10,512,16,855,clinton
30049,175,9,672,16,945,clinton
30050,148,11,555,13,799,clinton
30051,150,13,598,10,831,clinton
30052,109,12,576,14,768,clinton
30053,106,7,268,11,420,clinton
30054,17,1,69,0,98,clinton
30055,130,7,384,3,554,clinton
30056,61,9,596,9,718,clinton
30057,32,8,530,1,598,clinton
30058,97,8,562,5,715,clinton
30059,17,3,358,1,411,clinton
30060,166,5,471,15,720,clinton
30061,218,14,584,13,896,clinton
30062,81,2,354,10,493,clinton
30063,57,6,263,7,354,clinton
30064,123,11,636,14,871,clinton
30065,141,10,668,17,908,clinton
30066,121,10,717,17,920,clinton
30067,64,6,572,12,690,clinton
30068,94,6,647,19,813,clinton
30069,125,7,666,8,876,clinton
30070,0,0,0,0,0,null
30071,0,0,0,0,0,null
30072,0,0,0,0,0,null
31001,107,1,581,6,755,clinton
31002,97,6,543,11,697,clinton
31003,123,3,588,5,765,clinton
31004,81,4,643,3,779,clinton
31005,93,2,577,5,708,clinton
31006,3,0,29,0,39,clinton
31007,88,4,504,7,657,clinton
31008,130,4,482,7,644,clinton
31009,76,4,557,3,705,clinton
31010,84,1,601,10,737,clinton
31011,58,1,662,5,764,clinton
31012,76,2,572,2,688,clinton
31013,63,1,516,5,629,clinton
31014,28,3,576,3,667,clinton
31015,34,4,572,4,652,clinton
31016,17,2,274,1,316,clinton
31017,15,3,441,3,483,clinton
31018,28,3,624,3,696,clinton
31019,18,2,398,2,446,clinton
31020,63,1,192,2,275,clinton
31021,7,0,40,2,51,clinton
31022,87,1,528,1,652,clinton
31023,84,1,309,4,416,clinton
31024,66,6,535,4,639,clinton
31025,65,6,527,5,641,clinton
31026,125,3,481,4,655,clinton
31027,143,2,372,1,553,clinton
31028,91,3,324,5,455,clinton
31029,24,2,532,5,598,clinton
31030,4,0,35,0,48,clinton
31031,0,0,0,0,0,null
31032,62,4,631,8,763,clinton
31033,3,0,228,1,264,clinton
31034,20,3,740,6,837,clinton
31035,14,1,568,4,640,clinton
31036,13,2,619,1,685,clinton
31037,8,2,553,12,622,clinton
31038,22,3,612,6,683,clinton
31039,61,7,408,6,534,clinton
31040,11,0,659,7,721,clinton
31041,10,2,568,5,618,clinton
31042,19,3,724,5,801,clinton
31043,28,9,693,7,784,clinton
31044,42,3,719,10,823,clinton
31045,23,1,271,10,337,clinton
31046,17,5,577,10,654,clinton
31047,26,2,523,5,601,clinton
31048,53,1,543,6,655,clinton
31049,36,6,608,6,709,clinton
31050,12,2,585,4,655,clinton
31051,29,2,682,9,788,clinton
31052,39,6,643,9,801,clinton
31053,30,2,524,6,627,clinton
31054,34,3,425,3,506,clinton
31055,21,1,385,1,434,clinton
31056,15,2,395,12,450,clinton
31057,39,6,450,7,583,clinton
31058,18,3,579,3,646,clinton
31059,39,2,687,6,777,clinton
31060,0,0,2,0,2,clinton
31061,14,4,636,2,701,clinton
31062,18,2,475,7,562,clinton
31063,10,3,677,9,762,clinton
31064,20,4,810,7,927,clinton
31065,0,0,0,0,0,null
31066,0,0,0,0,0,null
31067,0,0,0,0,0,null
31068,0,0,0,0,0,null
31069,0,0,0,0,0,null
31070,0,0,0,0,0,null
31071,0,0,0,0,0,null
31072,0,0,0,0,0,null
31073,0,0,0,0,0,null
31074,0,0,0,0,0,null
31075,0,0,0,0,0,null
31076,0,0,0,0,0,null
31077,0,0,0,0,0,null
31078,26,2,477,6,539,clinton
31079,18,5,427,2,499,clinton
32001,48,1,644,0,765,clinton
32002,7,0,24,0,36,clinton
32003,34,4,653,7,741,clinton
32004,53,4,632,6,747,clinton
