aded,first2016,total_voted_reg2008,total_voted2016,pct_first2016_total_voted_reg2008,pct_first2016_total_voted2016
28072,26,390,584,6.666666667,4.452054795
28073,34,413,581,8.232445521,5.851979346
28074,24,384,533,6.25,4.502814259
28075,32,498,666,6.425702811,4.804804805
28076,25,560,715,4.464285714,3.496503497
28077,40,474,680,8.438818565,5.882352941
28078,23,264,444,8.712121212,5.18018018
28080,6,199,265,3.015075377,2.264150943
28081,17,447,587,3.803131991,2.896081772
28082,27,392,537,6.887755102,5.027932961
28083,26,414,607,6.280193237,4.283360791
28084,4,245,364,1.632653061,1.098901099
28085,10,58,123,17.24137931,8.130081301
28086,14,329,467,4.255319149,2.997858672
28087,20,361,538,5.540166205,3.717472119
28088,17,278,418,6.115107914,4.066985646
28089,13,234,348,5.555555556,3.735632184
29001,5,232,461,2.155172414,1.084598698
29002,19,290,587,6.551724138,3.236797274
29003,14,228,606,6.140350877,2.310231023
29004,13,159,351,8.176100629,3.703703704
29005,13,134,284,9.701492537,4.577464789
29006,18,381,573,4.724409449,3.141361257
29007,2,39,61,5.128205128,3.278688525
29008,12,216,355,5.555555556,3.38028169
29009,24,334,590,7.185628743,4.06779661
29010,18,311,562,5.78778135,3.202846975
29011,28,361,584,7.756232687,4.794520548
29012,27,386,644,6.994818653,4.192546584
29013,17,331,555,5.135951662,3.063063063
29014,8,302,507,2.649006623,1.57790927
29015,22,338,632,6.50887574,3.481012658
29016,32,300,536,10.66666667,5.970149254
29017,20,317,538,6.309148265,3.717472119
29018,21,273,452,7.692307692,4.646017699
29019,12,299,474,4.013377926,2.53164557
29020,14,306,453,4.575163399,3.090507726
29021,12,343,458,3.498542274,2.620087336
29022,7,353,500,1.983002833,1.4
29023,13,458,627,2.838427948,2.073365231
29024,7,514,663,1.361867704,1.055806938
29025,14,507,671,2.761341223,2.086438152
29026,13,513,720,2.53411306,1.805555556
29027,13,455,612,2.857142857,2.124183007
29028,12,476,667,2.521008403,1.79910045
29029,9,530,684,1.698113208,1.315789474
29030,14,460,638,3.043478261,2.194357367
29031,10,483,673,2.070393375,1.485884101
29032,15,494,667,3.036437247,2.248875562
29033,9,500,690,1.8,1.304347826
29034,16,477,660,3.354297694,2.424242424
29035,9,352,529,2.556818182,1.701323251
29036,27,303,454,8.910891089,5.947136564
29037,17,302,485,5.629139073,3.505154639
29038,28,337,560,8.308605341,5
29039,20,337,527,5.934718101,3.795066414
29040,5,269,386,1.858736059,1.295336788
29041,16,379,540,4.221635884,2.962962963
29042,14,362,547,3.867403315,2.559414991
29043,16,358,540,4.469273743,2.962962963
29044,13,445,640,2.921348315,2.03125
29045,23,479,649,4.801670146,3.543913713
29046,11,331,478,3.32326284,2.30125523
29047,11,338,492,3.25443787,2.235772358
29048,11,342,494,3.216374269,2.226720648
29049,22,397,581,5.541561713,3.786574871
29050,11,478,676,2.30125523,1.627218935
29051,17,491,667,3.462321792,2.548725637
29052,13,485,618,2.680412371,2.103559871
29053,8,396,506,2.02020202,1.581027668
29054,12,506,643,2.371541502,1.866251944
29055,11,485,629,2.268041237,1.748807631
29056,23,381,556,6.036745407,4.136690647
29057,12,491,659,2.443991853,1.820940819
29058,9,511,629,1.761252446,1.430842607
29059,13,535,655,2.429906542,1.984732824
29060,9,544,688,1.654411765,1.308139535
29061,15,582,726,2.577319588,2.066115702
29062,14,574,711,2.43902439,1.969057665
29063,14,502,680,2.788844622,2.058823529
29064,26,480,646,5.416666667,4.024767802
29065,13,493,633,2.636916836,2.05371248
29066,11,509,698,2.161100196,1.575931232
29067,15,487,660,3.080082136,2.272727273
29068,25,438,640,5.707762557,3.90625
29069,2,165,279,1.212121212,0.716845878
29070,10,313,466,3.194888179,2.145922747
29071,12,319,486,3.761755486,2.469135802
29072,30,298,587,10.06711409,5.110732538
29073,10,192,375,5.208333333,2.666666667
29074,15,357,519,4.201680672,2.89017341
29075,12,448,629,2.678571429,1.907790143
29076,33,402,608,8.208955224,5.427631579
29077,12,365,510,3.287671233,2.352941176
29078,6,318,475,1.886792453,1.263157895
29079,13,481,653,2.702702703,1.990811639
29080,11,338,470,3.25443787,2.340425532
30001,12,121,190,9.917355372,6.315789474
30002,27,367,562,7.356948229,4.804270463
30003,2,8,24,25,8.333333333
30004,23,479,658,4.801670146,3.495440729
30005,20,528,696,3.787878788,2.873563218
30006,35,573,713,6.108202443,4.908835905
30007,21,535,732,3.925233645,2.868852459
30008,22,562,715,3.914590747,3.076923077
30009,38,499,674,7.615230461,5.637982196
30010,31,446,633,6.950672646,4.897314376
30011,35,444,651,7.882882883,5.376344086
30012,27,454,613,5.947136564,4.4045677
30013,27,399,623,6.766917293,4.333868379
30014,37,450,628,8.222222222,5.891719745
30015,29,487,632,5.954825462,4.588607595
30016,30,377,588,7.957559682,5.102040816
30017,29,423,634,6.855791962,4.574132492
30018,20,441,620,4.535147392,3.225806452
30019,1,13,17,7.692307692,5.882352941
30020,15,239,339,6.276150628,4.424778761
30021,32,340,560,9.411764706,5.714285714
30022,19,272,468,6.985294118,4.05982906
30023,31,443,588,6.997742664,5.272108844
30024,23,426,621,5.399061033,3.703703704
30025,20,360,559,5.555555556,3.577817531
30026,32,380,591,8.421052632,5.414551607
30027,28,367,582,7.629427793,4.810996564
30028,0,1,4,0,0
30029,3,31,51,9.677419355,5.882352941
30030,40,319,512,12.53918495,7.8125
30031,19,175,338,10.85714286,5.621301775
30032,8,71,129,11.26760563,6.201550388
30033,13,101,184,12.87128713,7.065217391
30034,0,4,6,0,0
30035,0,6,13,0,0
30036,12,199,357,6.030150754,3.361344538
30037,12,382,574,3.141361257,2.090592334
30038,15,236,470,6.355932203,3.191489362
30039,26,516,709,5.03875969,3.667136812
30040,10,274,445,3.649635036,2.247191011
30041,0,127,234,0,0
30042,18,293,555,6.14334471,3.243243243
30043,23,269,524,8.550185874,4.389312977
30044,11,286,570,3.846153846,1.929824561
30045,17,281,556,6.049822064,3.057553957
30046,21,334,666,6.28742515,3.153153153
30047,23,335,617,6.865671642,3.727714749
30048,18,639,791,2.816901408,2.275600506
30049,13,420,623,3.095238095,2.086677368
30050,23,451,726,5.099778271,3.168044077
30051,21,330,603,6.363636364,3.482587065
30052,25,291,626,8.591065292,3.993610224
30053,11,234,392,4.700854701,2.806122449
30054,5,34,89,14.70588235,5.617977528
30055,14,278,523,5.035971223,2.676864245
30056,16,296,598,5.405405405,2.675585284
30057,17,390,496,4.358974359,3.427419355
30058,35,341,562,10.26392962,6.227758007
